pair,family,capacity,horizon,offline_gap,closed_loop_gap,scored_split_label
mru_vs_lru,cloudphysics,32,4,-0.0014825044170508317,0.0162353515625,test
random_vs_lru,cloudphysics,32,4,-0.00034460612091549736,0.002801513671874978,test
mru_vs_lru,cloudphysics,32,8,-0.0023963770029040844,0.0162353515625,test
random_vs_lru,cloudphysics,32,8,-0.0005388040454093138,0.002801513671874978,test
mru_vs_lru,cloudphysics,32,16,-0.0026603846388172465,0.0162353515625,test
random_vs_lru,cloudphysics,32,16,-0.0006593844560427303,0.002801513671874978,test
mru_vs_lru,cloudphysics,128,4,0.00020999580008399833,0.0428466796875,test
random_vs_lru,cloudphysics,128,4,0.0007640237820243594,0.008135986328124956,test
mru_vs_lru,cloudphysics,128,8,0.000986980260394792,0.0428466796875,test
random_vs_lru,cloudphysics,128,8,0.001539859827803444,0.008135986328124956,test
mru_vs_lru,cloudphysics,128,16,0.004094918101637967,0.0428466796875,test
random_vs_lru,cloudphysics,128,16,0.0030941568668626626,0.008135986328124956,test
mru_vs_lru,metacdn,32,4,0.1927899686520376,0.2743164062500001,validation
random_vs_lru,metacdn,32,4,0.02742094861660079,0.031159667968750027,validation
mru_vs_lru,metacdn,32,8,0.26199400299850073,0.2743164062500001,validation
random_vs_lru,metacdn,32,8,0.038423614897096905,0.031159667968750027,validation
mru_vs_lru,metacdn,32,16,0.30349597928308575,0.2743164062500001,validation
random_vs_lru,metacdn,32,16,0.04562278519830994,0.031159667968750027,validation
mru_vs_lru,metacdn,128,4,0.19698009608785175,0.30156249999999996,validation
random_vs_lru,metacdn,128,4,0.008454252158364338,0.016347656249999898,validation
mru_vs_lru,metacdn,128,8,0.26886536863779215,0.30156249999999996,validation
random_vs_lru,metacdn,128,8,0.012807104089152187,0.016347656249999898,validation
mru_vs_lru,metacdn,128,16,0.31495863887584435,0.30156249999999996,validation
random_vs_lru,metacdn,128,16,0.017411972148972294,0.016347656249999898,validation
mru_vs_lru,metakv,32,4,0.06349915860328145,0.07421875,test
random_vs_lru,metakv,32,4,0.0038134005574253257,0.0034667968749999556,test
mru_vs_lru,metakv,32,8,0.07009886411442995,0.07421875,test
random_vs_lru,metakv,32,8,0.004096878944047118,0.0034667968749999556,test
mru_vs_lru,metakv,32,16,0.07054585612116113,0.07421875,test
random_vs_lru,metakv,32,16,0.0040820887673538074,0.0034667968749999556,test
mru_vs_lru,metakv,128,4,0.06345097210481826,0.0625,test
random_vs_lru,metakv,128,4,0.0010124716029163146,-0.015124511718749956,test
mru_vs_lru,metakv,128,8,0.0702134404057481,0.0625,test
random_vs_lru,metakv,128,8,0.0011691095863271344,-0.015124511718749956,test
mru_vs_lru,metakv,128,16,0.07090025359256129,0.0625,test
random_vs_lru,metakv,128,16,0.0012886002218934912,-0.015124511718749956,test
mru_vs_lru,twemcache,32,4,0.04261671378371952,0.2037353515625,test
random_vs_lru,twemcache,32,4,0.010477489497741023,0.031481933593749956,test
mru_vs_lru,twemcache,32,8,0.06351554862744062,0.2037353515625,test
random_vs_lru,twemcache,32,8,0.01823363893365743,0.031481933593749956,test
mru_vs_lru,twemcache,32,16,0.08948717271262122,0.2037353515625,test
random_vs_lru,twemcache,32,16,0.028310688525456415,0.031481933593749956,test
mru_vs_lru,twemcache,128,4,0.05132232729604103,0.3287353515625,test
random_vs_lru,twemcache,128,4,0.005937700352620612,0.04827880859375,test
mru_vs_lru,twemcache,128,8,0.08001282256771919,0.3287353515625,test
random_vs_lru,twemcache,128,8,0.010847842202276007,0.04827880859375,test
mru_vs_lru,twemcache,128,16,0.12040391088315436,0.3287353515625,test
random_vs_lru,twemcache,128,16,0.018272409440615485,0.04827880859375,test
mru_vs_lru,wiki2018,32,4,0.0,0.0,test
random_vs_lru,wiki2018,32,4,0.0,0.0,test
mru_vs_lru,wiki2018,32,8,0.0,0.0,test
random_vs_lru,wiki2018,32,8,0.0,0.0,test
mru_vs_lru,wiki2018,32,16,0.0,0.0,test
random_vs_lru,wiki2018,32,16,0.0,0.0,test
mru_vs_lru,wiki2018,128,4,0.0,0.0,test
random_vs_lru,wiki2018,128,4,0.0,0.0,test
mru_vs_lru,wiki2018,128,8,0.0,0.0,test
random_vs_lru,wiki2018,128,8,0.0,0.0,test
mru_vs_lru,wiki2018,128,16,0.0,0.0,test
random_vs_lru,wiki2018,128,16,0.0,0.0,test
