absolute_miss_diff_vs_lru,capacity,error,evictions,family,hits,miss_ratio,miss_ratio_ci95_hi,miss_ratio_ci95_lo,miss_ratio_max,miss_ratio_min,miss_ratio_std,misses,n_seeds,policy,relative_miss_diff_vs_lru,scored_requests,scored_split_label,status
0,32,,8058,cloudphysics,134,0.983642578125,,,,,,8058,,lru,0.0,8192,test,complete
133,32,,8191,cloudphysics,1,0.9998779296875,,,,,,8191,,mru,0.016505336311739886,8192,test,complete
16,32,,8074,cloudphysics,118,0.985595703125,,,,,,8074,,sieve,0.0019856043683296105,8192,test,complete
22.949999999999818,32,,8080.95,cloudphysics,111.05,0.986444091796875,0.9868644447271389,0.9860237388666111,0.9879150390625,0.984619140625,0.0009591201291952737,8080.95,20,random,0.0028481012658227623,8192,test,complete
0,128,,7832,cloudphysics,360,0.9560546875,,,,,,7832,,lru,0.0,8192,test,complete
351,128,,8183,cloudphysics,9,0.9989013671875,,,,,,8183,,mru,0.044816138917262514,8192,test,complete
113,128,,7945,cloudphysics,247,0.9698486328125,,,,,,7945,,sieve,0.014427987742594484,8192,test,complete
66.64999999999964,128,,7898.65,cloudphysics,293.35,0.964190673828125,0.9647885097631161,0.9635928378931338,0.96630859375,0.9613037109375,0.001364083459216698,7898.65,20,random,0.008509959141981568,8192,test,complete
0,32,,11829,metacdn,8619,0.579150390625,,,,,,11861,,lru,0.0,20480,validation,complete
5618,32,,17447,metacdn,3001,0.853466796875,,,,,,17479,,mru,0.47365314897563443,20480,validation,complete
96,32,,11925,metacdn,8523,0.583837890625,,,,,,11957,,sieve,0.008093752634685102,20480,validation,complete
638.1499999999996,32,,12467.15,metacdn,7980.85,0.61031005859375,0.6108991649385032,0.6097209522489968,0.613232421875,0.60771484375,0.0013441651355557529,12499.15,20,random,0.05380237753983641,20480,validation,complete
0,128,,11116,metacdn,9236,0.5490234375,,,,,,11244,,lru,0.0,20480,validation,complete
6176,128,,17292,metacdn,3060,0.8505859375,,,,,,17420,,mru,0.5492707221629314,20480,validation,complete
41,128,,11157,metacdn,9195,0.551025390625,,,,,,11285,,sieve,0.0036463891853432944,20480,validation,complete
334.7999999999993,128,,11450.8,metacdn,8901.2,0.5653710937499999,0.5659740034490472,0.5647681840509526,0.567919921875,0.562890625,0.001375660276901806,11578.8,20,random,0.029775880469583713,20480,validation,complete
0,32,,3003,metakv,1061,0.740966796875,,,,,,3035,,lru,0.0,4096,test,complete
304,32,,3307,metakv,757,0.815185546875,,,,,,3339,,mru,0.10016474464579901,4096,test,complete
1,32,,3004,metakv,1060,0.7412109375,,,,,,3036,,sieve,0.00032948929159802305,4096,test,complete
14.199999999999818,32,,3017.2,metakv,1046.8,0.74443359375,0.7449313662250414,0.7439358212749585,0.74609375,0.741943359375,0.0011357684607357867,3049.2,20,random,0.004678747940691868,4096,test,complete
0,128,,2858,metakv,1110,0.72900390625,,,,,,2986,,lru,0.0,4096,test,complete
256,128,,3114,metakv,854,0.79150390625,,,,,,3242,,mru,0.08573342263898191,4096,test,complete
-126,128,,2732,metakv,1236,0.6982421875,,,,,,2860,,sieve,-0.04219691895512391,4096,test,complete
-61.94999999999982,128,,2796.05,metakv,1171.95,0.71387939453125,0.7145190162784929,0.7132397727840072,0.71630859375,0.71142578125,0.0014594262313491822,2924.05,20,random,-0.020746818486269195,4096,test,complete
0,32,,6153,twemcache,2039,0.7510986328125,,,,,,6153,,lru,0.0,8192,test,complete
1669,32,,7822,twemcache,370,0.954833984375,,,,,,7822,,mru,0.27124979684706646,8192,test,complete
521,32,,6674,twemcache,1518,0.814697265625,,,,,,6674,,sieve,0.08467414269462051,8192,test,complete
257.89999999999964,32,,6410.9,twemcache,1781.1,0.78258056640625,0.7836645334111246,0.7814965994013753,0.788330078125,0.778564453125,0.0024732897023128928,6410.9,20,random,0.04191451324557121,8192,test,complete
0,128,,5083,twemcache,3109,0.6204833984375,,,,,,5083,,lru,0.0,8192,test,complete
2693,128,,7776,twemcache,416,0.94921875,,,,,,7776,,mru,0.5298052331300414,8192,test,complete
777,128,,5860,twemcache,2332,0.71533203125,,,,,,5860,,sieve,0.15286248278575645,8192,test,complete
395.5,128,,5478.5,twemcache,2713.5,0.66876220703125,0.6697792934451692,0.6677451206173308,0.6729736328125,0.66455078125,0.002320688122974144,5478.5,20,random,0.07780838087743458,8192,test,complete
0,32,,4096,wiki2018,0,1.0,,,,,,4096,,lru,0.0,4096,test,complete
0,32,,4096,wiki2018,0,1.0,,,,,,4096,,mru,0.0,4096,test,complete
0,32,,4096,wiki2018,0,1.0,,,,,,4096,,sieve,0.0,4096,test,complete
0.0,32,,4096.0,wiki2018,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4096.0,20,random,0.0,4096,test,complete
0,128,,4096,wiki2018,0,1.0,,,,,,4096,,lru,0.0,4096,test,complete
0,128,,4096,wiki2018,0,1.0,,,,,,4096,,mru,0.0,4096,test,complete
0,128,,4096,wiki2018,0,1.0,,,,,,4096,,sieve,0.0,4096,test,complete
0.0,128,,4096.0,wiki2018,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4096.0,20,random,0.0,4096,test,complete
