analysis_set,capacity,decisions,decision_horizon_units,jaccard_mean,jaccard_median,jaccard_eq_1_fraction,jaccard_below_0_8_fraction,strict_reversal_count,strict_reversal_fraction,ccr_mean,ccr_median,ccr_p95,ccr_max,nonzero_regret_fraction,fraction_lru_optimal_still_mru_optimal,both_tied_fraction
A_all_decisions,32,204438,613314,0.9982154188191673,1.0,0.9717583489044763,0.0017902738238487952,2096,6.8901190118159756e-06,0.000893821453835881,0.0,0.0,0.1935483870967742,0.022761587050026576,0.9991457937852919,0.7044564448227172
A_all_decisions,64,199724,599172,0.9995732831031724,1.0,0.9853814931271822,7.677261287243062e-05,1464,1.211990006526467e-06,0.00023335767291460713,0.0,0.0,0.11475409836065574,0.012074996828957294,0.9997749324489382,0.678995346912072
A_all_decisions,128,194226,582678,0.9999228430228175,1.0,0.9941820353608682,0.0,581,1.2267718913808043e-07,4.457892038323891e-05,0.0,0.0,0.047244094488188976,0.004827709300848839,0.9999571524712779,0.6612863365357882
A_all_decisions,256,189374,568122,0.9999825273107086,1.0,0.9974882155593341,0.0,505,2.7233259274399155e-08,9.790533072756463e-06,0.0,0.0,0.01568627450980392,0.002099901077585448,0.9999905295192385,0.64501814751057
B_excluding_both_tied,32,72313,181261,0.9939616982012615,1.0,0.9044416614715797,0.006057563403048642,2096,2.3313379334842592e-05,0.0030243307227583406,0.0,0.03225806451612903,0.1935483870967742,0.07701601557974412,0.9971097112430836,0.0
B_excluding_both_tied,64,75901,192337,0.998670683142058,1.0,0.9544601402746221,0.00023916355147475524,1464,3.7756150724534345e-06,0.0007269604059312092,0.0,0.0,0.11475409836065574,0.037616267280866394,0.9992988651444873,0.0
B_excluding_both_tied,128,77571,197361,0.9997722058909783,1.0,0.9828233541581164,0.0,581,3.621855341865841e-07,0.00013161240655988206,0.0,0.0,0.047244094488188976,0.014253069248737087,0.9998734992610459,0.0
B_excluding_both_tied,256,79460,201673,0.9999507786407423,1.0,0.9929241891576959,0.0,505,7.67173281772483e-08,2.7580376304019615e-05,0.0,0.0,0.01568627450980392,0.005915516702781235,0.9999733212255917,0.0
C_discriminative_under_LRU,32,69141,176214,0.9948091745131422,1.0,0.9303460564994835,0.006231059961183561,2096,2.3981105085934735e-05,0.002066943949617508,0.0,0.03225806451612903,0.1935483870967742,0.0505805441111376,0.9980473507759461,0.0
C_discriminative_under_LRU,64,74543,190213,0.99885922982916,1.0,0.9651180518681688,0.00024183415434276311,1464,3.817775210897658e-06,0.0005297160740621881,0.0,0.0,0.11475409836065574,0.026869877453170918,0.9994944263814526,0.0
C_discriminative_under_LRU,128,77032,196569,0.9998063823102796,1.0,0.9867832669444317,0.0,581,3.636448230015843e-07,9.633306203452671e-05,0.0,0.0,0.047244094488188976,0.01028137702282659,0.9999080838034444,0.0
C_discriminative_under_LRU,256,79189,201286,0.9999591646317401,1.0,0.994833222380096,0.0,505,7.686482778479475e-08,1.9152777542206353e-05,0.0,0.0,0.01568627450980392,0.004004252655425613,0.9999817505578071,0.0
D_discriminative_under_either,32,72313,181261,0.9939616982012615,1.0,0.9044416614715797,0.006057563403048642,2096,2.3313379334842592e-05,0.0030243307227583406,0.0,0.03225806451612903,0.1935483870967742,0.07701601557974412,0.9971097112430836,0.0
D_discriminative_under_either,64,75901,192337,0.998670683142058,1.0,0.9544601402746221,0.00023916355147475524,1464,3.7756150724534345e-06,0.0007269604059312092,0.0,0.0,0.11475409836065574,0.037616267280866394,0.9992988651444873,0.0
D_discriminative_under_either,128,77571,197361,0.9997722058909783,1.0,0.9828233541581164,0.0,581,3.621855341865841e-07,0.00013161240655988206,0.0,0.0,0.047244094488188976,0.014253069248737087,0.9998734992610459,0.0
D_discriminative_under_either,256,79460,201673,0.9999507786407423,1.0,0.9929241891576959,0.0,505,7.67173281772483e-08,2.7580376304019615e-05,0.0,0.0,0.01568627450980392,0.005915516702781235,0.9999733212255917,0.0
