optimal_candidate_count,n_decisions
16,52
17,95
18,141
19,167
20,190
21,177
22,210
23,249
24,458
25,772
26,1293
27,2487
28,6308
29,17537
30,46207
31,99871
32,437100
48,38
49,53
50,73
51,75
52,108
53,144
54,196
55,398
56,721
57,1316
58,2461
59,4625
60,9990
61,23187
62,50485
63,96343
64,408959
112,23
113,63
114,63
115,102
116,186
117,323
118,512
119,852
120,1375
121,2223
122,3434
123,6129
124,12100
125,26359
126,50913
127,91912
128,386109
240,19
241,50
242,98
243,170
244,307
245,516
246,760
247,1127
248,1648
249,2631
250,4044
251,7099
252,13913
253,28148
254,51507
255,89249
256,366836
