informativeness_stratum,stratum_order,method,n_decisions,info_min,info_median,info_mean,info_max,mean_regret,median_regret,p90_regret,p95_regret,optimal_selection_rate,method_order,random_mean_regret,regret_improvement_vs_random,excess_regret_vs_best_non_oracle
Z,0,uniform_random,1599004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0
Z,0,lru,1599004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0
Z,0,clean_linear,1599004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.0,0.0
Z,0,clean_pairwise_logistic,1599004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0
Z,0,frozen_hgb,1599004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0.0,0.0,0.0
Q1,1,uniform_random,191086,0.00390625,0.0078125,0.014392836373413018,0.03125,0.014392836373413018,0.0078125,0.03125,0.03125,0.985607163626587,0,0.014392836373413018,0.0,0.013859045305516888
Q1,1,lru,191086,0.00390625,0.0078125,0.014392836373413018,0.03125,0.0006960216865704447,0.0,0.0,0.0,0.9993039783134295,1,0.014392836373413018,0.013696814686842574,0.00016223061867431422
Q1,1,clean_linear,191086,0.00390625,0.0078125,0.014392836373413018,0.03125,0.35810054111761197,0.0,1.0,1.0,0.6418994588823881,2,0.014392836373413018,-0.3437077047441989,0.35756675004971583
Q1,1,clean_pairwise_logistic,191086,0.00390625,0.0078125,0.014392836373413018,0.03125,0.0005337910678961305,0.0,0.0,0.0,0.9994662089321039,3,0.014392836373413018,0.013859045305516888,0.0
Q1,1,frozen_hgb,191086,0.00390625,0.0078125,0.014392836373413018,0.03125,0.19601122007891736,0.0,1.0,1.0,0.8039887799210826,4,0.014392836373413018,-0.18161838370550434,0.19547742901102122
Q2,2,uniform_random,191078,0.00390625,0.015625,0.01832579496331341,0.0625,0.01832579496331341,0.015625,0.03125,0.03125,0.9816743276960195,0,0.01832579496331341,0.0,0.0173785378222506
Q2,2,lru,191078,0.00390625,0.015625,0.01832579496331341,0.0625,0.0010309925789468175,0.0,0.0,0.0,0.9989690074210532,1,0.01832579496331341,0.017294802384366592,8.373543788400546e-05
Q2,2,clean_linear,191078,0.00390625,0.015625,0.01832579496331341,0.0625,0.38104857702090245,0.0,1.0,1.0,0.6189514229790976,2,0.01832579496331341,-0.362722782057589,0.38010131987983964
Q2,2,clean_pairwise_logistic,191078,0.00390625,0.015625,0.01832579496331341,0.0625,0.000947257141062812,0.0,0.0,0.0,0.9990527428589372,3,0.01832579496331341,0.0173785378222506,0.0
Q2,2,frozen_hgb,191078,0.00390625,0.015625,0.01832579496331341,0.0625,0.21509540606453909,0.0,1.0,1.0,0.7849045939354609,4,0.01832579496331341,-0.19676961110122568,0.21414814892347628
Q3,3,uniform_random,191066,0.00390625,0.01953125,0.027286382715920154,0.09375,0.027286382715920154,0.01953125,0.0625,0.0625,0.9727146803983964,0,0.027286382715920154,0.0,0.025287073576669844
Q3,3,lru,191066,0.00390625,0.01953125,0.027286382715920154,0.09375,0.0019993091392503113,0.0,0.0,0.0,0.9980111584478661,1,0.027286382715920154,0.025287073576669844,0.0
Q3,3,clean_linear,191066,0.00390625,0.01953125,0.027286382715920154,0.09375,0.3885201972093413,0.0,1.0,1.0,0.6114902703777753,2,0.027286382715920154,-0.3612338144934211,0.38652088807009094
Q3,3,clean_pairwise_logistic,191066,0.00390625,0.01953125,0.027286382715920154,0.09375,0.0020987512168570022,0.0,0.0,0.0,0.9979117163702594,3,0.027286382715920154,0.025187631499063154,9.944207760669097e-05
Q3,3,frozen_hgb,191066,0.00390625,0.01953125,0.027286382715920154,0.09375,0.2270157955889588,0.0,1.0,1.0,0.7729894382045994,4,0.027286382715920154,-0.19972941287303864,0.22501648644970848
Q4,4,uniform_random,191052,0.00390625,0.03125,0.04916677216804849,0.875,0.04916677216804849,0.03125,0.09375,0.125,0.9516741310938907,0,0.04916677216804849,0.0,0.015102747713973158
Q4,4,lru,191052,0.00390625,0.03125,0.04916677216804849,0.875,0.034090195339488726,0.0,0.0,0.0,0.9671293679207755,1,0.04916677216804849,0.015076576828559764,2.617088541339435e-05
Q4,4,clean_linear,191052,0.00390625,0.03125,0.04916677216804849,0.875,0.4192785210309235,0.0,1.0,1.0,0.5855212193538932,2,0.04916677216804849,-0.370111748862875,0.38521449657684814
Q4,4,clean_pairwise_logistic,191052,0.00390625,0.03125,0.04916677216804849,0.875,0.03406402445407533,0.0,0.0,0.0,0.9671450704520236,3,0.04916677216804849,0.015102747713973158,0.0
Q4,4,frozen_hgb,191052,0.00390625,0.03125,0.04916677216804849,0.875,0.26323723384209535,0.0,1.0,1.0,0.7394793040638151,4,0.04916677216804849,-0.21407046167404686,0.22917320938802002
