alt_metric,alt_stratum,stratum_order,method,method_order,n_decisions,mean_alt_value,mean_regret,median_regret,optimal_selection_rate
loss_range,Z,0,uniform_random,0,1599004,0.0,0.0,0.0,1.0
loss_range,Z,0,lru,1,1599004,0.0,0.0,0.0,1.0
loss_range,Z,0,clean_linear,2,1599004,0.0,0.0,0.0,1.0
loss_range,Z,0,clean_pairwise_logistic,3,1599004,0.0,0.0,0.0,1.0
loss_range,Z,0,frozen_hgb,4,1599004,0.0,0.0,0.0,1.0
loss_range,Q1,1,uniform_random,0,191086,1.0,0.026163469098992077,0.015625,0.973836530901008
loss_range,Q1,1,lru,1,191086,1.0,0.00387260186512879,0.0,0.9961273981348712
loss_range,Q1,1,clean_linear,2,191086,1.0,0.3821473054017563,0.0,0.6178526945982438
loss_range,Q1,1,clean_pairwise_logistic,3,191086,1.0,0.004029599238039417,0.0,0.9959704007619605
loss_range,Q1,1,frozen_hgb,4,191086,1.0,0.21846707765090065,0.0,0.7815329223490993
loss_range,Q2,2,uniform_random,0,191078,1.0,0.026903198562890546,0.015625,0.9730968014371094
loss_range,Q2,2,lru,1,191078,1.0,0.0059190487654256375,0.0,0.9940809512345744
loss_range,Q2,2,clean_linear,2,191078,1.0,0.3638461780006071,0.0,0.636153821999393
loss_range,Q2,2,clean_pairwise_logistic,3,191078,1.0,0.005830079862673882,0.0,0.9941699201373261
loss_range,Q2,2,frozen_hgb,4,191078,1.0,0.22106678947864222,0.0,0.7789332105213578
loss_range,Q3,3,uniform_random,0,191066,1.0,0.025519261832298787,0.015625,0.9744807381677012
loss_range,Q3,3,lru,1,191066,1.0,0.005270430113154616,0.0,0.9947295698868454
loss_range,Q3,3,clean_linear,2,191066,1.0,0.41201469649231154,0.0,0.5879853035076884
loss_range,Q3,3,clean_pairwise_logistic,3,191066,1.0,0.005102948719290716,0.0,0.9948970512807093
loss_range,Q3,3,frozen_hgb,4,191066,1.0,0.2294181068321941,0.0,0.7705818931678059
loss_range,Q4,4,uniform_random,0,191052,1.0187906957268178,0.030582724205975336,0.015625,0.9702593649242092
loss_range,Q4,4,lru,1,191052,1.0187906957268178,0.02275296777840588,0.0,0.9784770638360237
loss_range,Q4,4,clean_linear,2,191052,1.0187906957268178,0.388935996482633,0.0,0.6158742122563491
loss_range,Q4,4,clean_pairwise_logistic,3,191052,1.0187906957268178,0.022679689299248372,0.0,0.9785398739610158
loss_range,Q4,4,frozen_hgb,4,191052,1.0187906957268178,0.232402696648033,0.0,0.7703190754349601
