trace_family,capacity,horizon,n_pairs,n_ties,n_strict,strict_fraction
metacdn,64,16,11752,877.0,10875.0,0.9253744043567053
metacdn,32,16,13080,1051.0,12029.0,0.9196483180428134
metacdn,128,16,11432,1253.0,10179.0,0.8903953813855843
metacdn,256,16,11288,2014.0,9274.0,0.8215804394046775
metacdn,64,8,12496,2277.0,10219.0,0.8177816901408451
metacdn,32,8,12680,2393.0,10287.0,0.8112776025236593
metacdn,128,8,11912,2657.0,9255.0,0.7769476158495635
metacdn,256,8,11512,3377.0,8135.0,0.7066539263377345
metacdn,32,4,12088,4770.0,7318.0,0.6053937789543349
metacdn,128,4,12272,5298.0,6974.0,0.5682855280312907
metacdn,64,4,11960,5296.0,6664.0,0.557190635451505
metacdn,256,4,11672,5907.0,5765.0,0.49391706648389305
twemcache,32,16,15872,14378.0,1494.0,0.09412802419354839
twemcache,64,16,14944,13908.0,1036.0,0.0693254817987152
twemcache,32,8,16456,15453.0,1003.0,0.060950413223140494
twemcache,128,16,13400,12645.0,755.0,0.05634328358208955
cloudphysics,128,16,20840,19855.0,985.0,0.047264875239923225
twemcache,64,8,14584,13923.0,661.0,0.04532364234777839
cloudphysics,256,16,19184,18319.0,865.0,0.04508965804837364
twemcache,32,4,16480,15880.0,600.0,0.03640776699029126
cloudphysics,64,16,21064,20378.0,686.0,0.0325674135966578
twemcache,128,8,13576,13209.0,367.0,0.027032999410724807
twemcache,64,4,14144,13799.0,345.0,0.024391968325791855
cloudphysics,256,8,19992,19522.0,470.0,0.0235094037615046
cloudphysics,32,16,20976,20486.0,490.0,0.02336003051106026
twemcache,256,16,11648,11377.0,271.0,0.023265796703296704
cloudphysics,128,8,20320,19882.0,438.0,0.02155511811023622
cloudphysics,64,8,20648,20307.0,341.0,0.016514916698953892
cloudphysics,32,8,20920,20585.0,335.0,0.01601338432122371
twemcache,128,4,13304,13106.0,198.0,0.014882742032471438
twemcache,256,8,12352,12185.0,167.0,0.013520077720207253
cloudphysics,128,4,20472,20198.0,274.0,0.013384134427510746
cloudphysics,64,4,20736,20498.0,238.0,0.011477623456790124
cloudphysics,256,4,19376,19155.0,221.0,0.011405862923203964
cloudphysics,32,4,20808,20635.0,173.0,0.008314109957708574
metakv,32,4,15840,15713.0,127.0,0.008017676767676767
twemcache,256,4,12304,12225.0,79.0,0.0064206762028608585
metakv,32,16,15864,15765.0,99.0,0.006240544629349471
metakv,32,8,16688,16595.0,93.0,0.005572866730584851
metakv,64,8,15872,15804.0,68.0,0.004284274193548387
metakv,64,16,16344,16299.0,45.0,0.0027533039647577094
metakv,64,4,15312,15274.0,38.0,0.0024817136886102404
metakv,256,16,16040,16013.0,27.0,0.001683291770573566
metakv,128,16,16048,16023.0,25.0,0.001557826520438684
metakv,256,4,15472,15451.0,21.0,0.0013572905894519132
metakv,128,8,15640,15631.0,9.0,0.0005754475703324808
metakv,256,8,15504,15497.0,7.0,0.00045149638802889576
metakv,128,4,15960,15953.0,7.0,0.0004385964912280702
wiki2018,128,8,20704,20704.0,0.0,0.0
wiki2018,64,16,20672,20672.0,0.0,0.0
wiki2018,256,8,21024,21024.0,0.0,0.0
wiki2018,32,16,21128,21128.0,0.0,0.0
wiki2018,64,4,20584,20584.0,0.0,0.0
wiki2018,256,4,20432,20432.0,0.0,0.0
wiki2018,32,4,21120,21120.0,0.0,0.0
wiki2018,128,4,21184,21184.0,0.0,0.0
wiki2018,256,16,21192,21192.0,0.0,0.0
wiki2018,64,8,21304,21304.0,0.0,0.0
wiki2018,128,16,20760,20760.0,0.0,0.0
wiki2018,32,8,20768,20768.0,0.0,0.0
